0,1,2
 , , 
35.52, , 
226.68, , 
364.00,18-Nov-2018 10:06 AM, 
2,93.60,18-Nov-2018 10:06 AM
12.25, , 
148.52,18-Nov-2018 10:06 AM, 
2,144.42,18-Nov-2018 10:06 AM
29.02, , 
59.00,18-Nov-2018 10:03 PM, 
2,71.04,19-Nov-2018 06:37 AM
283.35, , 
19-Nov-2018 10:28 AM, , 
364.00,19-Nov-2018 10:28 AM, 
46.80,*9-Nov-2018 10:28 AM, 
222.78,19-Nov-2018 10:28 AM, 
72.21,19-Nov-2018 10:28 AM, 
213.12,19-Nov-2018 10:28 AM, 
35.52,20-Nov-2018 07:46 AM, 
35.52,20-Nov-2018 07:46 AM, 
226.68,20-Nov-2018 10:22 AM, 
20-Nov-2018 10:22 AM, , 
131.00, , 
99.50, , 
91.60, , 
177.97, , 
